name,list1,list2,list3,list4
嘉義縣私立大林教養院,1,0,1,0
嘉義縣脊髓損傷者協會,1,1,0,0
社團法人嘉義縣生命線協會,1,0,1,0
財團法人嘉義縣私立天主教敏道社會福利慈善事業基金會,1,0,1,0
財團法人嘉義縣私立嘉惠教養院,1,0,0,1
社團法人嘉義縣精神康扶之友協會,1,0,1,0
社團法人金門縣身心障礙者家長協會,1,0,1,0
社團法人金門縣康復之友協會,1,0,1,0
財團法人苗栗縣私立大千社會福利慈善事業基金會,1,0,1,0
財團法人苗栗縣私立海青老人養護中心,1,0,1,0
社團法人中華民國恩福會,1,0,1,0
社團法人南投縣青年返鄉服務協會,1,0,1,0
財團法人南投縣私立德安啟智教養院,1,0,1,0
財團法人台灣兒童暨家庭扶助基金會南投分事務所,1,0,1,0
南投縣生命線協會,1,0,1,0
台灣原住民族學院促進會,1,0,1,0
財團法人良顯堂社會福利基金會,1,0,1,0
社團法人南投縣康復之友協會,1,0,1,0
社團法人南投縣智障者家長協會,1,0,1,0
南投縣信義鄉布農文化協會,1,0,1,0
財團法人中華基督教衛理公會,1,0,1,0
社團法人中華萱民會,1,0,1,0
社團法人屏東縣志願服務協會,1,0,1,0
社團法人屏東縣脊髓損傷者協會,1,0,1,0
社團法人屏東縣海青青弘會,1,0,1,0
屏東縣基督教青年會,1,0,1,0
財團法人台灣省台南市天主教鮑思高慈幼會附設屏東縣私立少年城,1,0,1,0
社團法人屏東縣兒童少年關懷協會,1,0,1,0
有限責任屏東縣幸福原住民照顧服務勞動合作社,1,0,1,0
社團法人屏東縣向陽關懷協會,1,0,1,0
財團法人屏東縣私立迦南身心障礙養護院,1,0,0,1
財團法人屏東縣私立畢嘉士社會福利基金會,1,0,0,1
社團法人屏東縣自閉症協進會,1,0,1,0
社團法人屏東縣希望家園協進會,1,0,1,0
財團法人屏東縣私立福慧社會福利慈善事業基金會附設大同之家,1,1,0,0
洪建全教育文化基金會,1,0,0,1
環境品質文教基金會,1,1,0,0
財團法人OMG關懷社會愛心基金會,1,0,0,1
國際社會福利協會中華民國總會,1,0,1,0
台北市康復之友協會,1,0,1,0
中華民國類風濕性關節炎之友協會,1,0,1,0
中華民國無喉者復聲協會,1,0,1,0
中華骨髓移植關懷協會,1,0,1,0
財團法人中華民國婦聯聽障文教基金會,1,0,1,0
財團法人台北市私立愛愛院,1,0,1,0
中華民國新女性聯合會,1,0,1,0
中華社會福利聯合勸募協會,1,0,1,0
台北市學習障礙者家長協會,1,0,1,0
財團法人天主教耶穌會台北新事社會服務中心,1,0,1,0
台北市社會福利聯盟,1,0,1,0
社團法人中華白絲帶關懷協會,1,0,1,0
中華民國梅門一氣流行養生學會,1,1,0,0
社團法人中華民國新人類把愛傳出去協會,1,1,0,0
中華民國小胖威利病友關懷協會,1,1,0,0
中華民國紅十字會台灣省分會,1,0,1,0
台北市愛網全人關懷協會,1,0,1,0
台北市大同兒童發展中心,1,0,1,0
中華民國愛加倍社會福利關懷協會,1,0,0,1
中華民國社區重聽福利協會,1,0,1,0
財團法人中華基金會,1,1,0,0
中華心理衛生協會,1,0,1,0
台北市私立慧光老人養護所,1,1,0,0
財團法人「張老師」基金會台北分事務所,1,0,1,0
社團法人台灣癲癇之友協會,1,0,1,0
中華民國唐氏症關愛者協會,1,0,1,0
財團法人基督教宇宙光全人關懷機構,1,0,1,0
財團法人台北市基督徒救世會社會福利事業基金會,1,0,1,0
中華民國智障者家長總會,1,0,1,0
財團法人呂旭立紀念文教基金會,1,0,1,0
社團法人公民監督國會聯盟,1,0,0,1
財團法人天主教康泰醫療教育基金會,1,0,1,0
現代婦女基金會,1,1,0,0
台灣展翅協會,1,0,1,0
財團法人公益平台文化基金會,1,1,0,0
財團法人昭華教育基金會,1,1,0,0
財團法人羅慧夫顱顏基金會,1,0,0,1
中華民國更生少年關懷協會,1,0,1,0
彭婉如文教基金會,1,0,1,0
中華民國發展遲緩兒童基金會,1,0,0,1
中華民國發展遲緩兒童家長支援協會,1,0,1,0
中華民國醫務社會工作協會,1,0,1,0
台北市博愛發展中心,1,0,1,0
財團法人台北市私立仁愛頤養園,1,0,1,0
台北基督教女青年會,1,0,1,0
新品文具庇護工場,1,1,0,0
社團法人中華民國聽障人協會,1,0,1,0
中華民國台灣泰迪熊協會,1,1,0,0
財團法人天主教白永恩神父社會福利基金會,1,0,0,1
財團法人華山社會福利慈善事業基金會,1,0,0,1
財團法人台北市私立康狀老人養護所,1,0,1,0
財團法人台北市私立松年長春服務中心,1,0,1,0
台灣心理衛生社會工作學會,1,0,1,0
社團法人中華民國視障者家長協會,1,0,1,0
安麗希望工場慈善基金會,1,1,0,0
中華民國關懷魚鱗癬症協會,1,0,1,0
社團法人中華履行公益服務協會,1,1,0,0
台北市鵬程啟能中心,1,0,1,0
財團法人聖島社會福利慈善基金會,1,0,0,1
台北市城中發展中心,1,0,1,0
台北市身心障礙服務推展協會,1,1,0,0
中華民國觀護協會,1,0,1,0
社團法人台灣芒草心慈善協會,1,0,1,0
社團法人台灣社區實踐協會,1,0,1,0
